id1,t1,lat1,lon1,mag1,dist1,id2,t2,lat2,lon2,mag2,dist2,dmag,ddist
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,0.0810000000000004,18.616202923274713
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us7000bjem,2020-09-07 21:18:59.974000,7.8729,-37.0216,5.208,114.29323671071565,0.08099999999999952,12.419039380831947
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us7000blsw,2020-09-07 11:03:17.037000,7.6409,-37.3509,5.127000000000001,149.18797806140955,0.0,22.47570196986196
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us7000bivi,2020-09-06 08:29:47.435000,7.7571,-37.1468,5.046,126.6666850687764,0.0810000000000004,0.04559102277119109
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70001,2020-09-08 06:39:18,7.764,-37.001,4.965000000000001,110.65097765128276,0.16199999999999992,16.061298440264835
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70002,2020-09-06 11:06:53,7.986,-37.049,4.884,119.93489668105762,0.24300000000000033,6.777379410489971
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70003,2020-09-06 21:39:33,7.796,-37.048,4.884,116.09126368418698,0.24300000000000033,10.62101240736061
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70004,2020-09-07 21:19:05,7.79,-37.05,4.803,116.25308520611668,0.32400000000000073,10.459190885430914
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70005,2020-09-07 02:43:05,7.738,-37.011,4.722,111.61006893315307,0.40500000000000025,15.10220715839452
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70006,2020-09-07 03:06:45,7.756,-36.978,4.722,108.0657747118379,0.40500000000000025,18.64650137970969
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70007,2020-09-07 04:45:20,7.747,-37.047,4.722,115.61802379051906,0.40500000000000025,11.094252301028533
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70008,2020-09-07 08:50:12,7.76,-37.019,4.722,112.60622931292328,0.40500000000000025,14.106046778624318
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us70009,2020-09-07 10:25:57,7.82,-37.011,4.722,112.30701937444871,0.40500000000000025,14.40525671709888
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us700010,2020-09-06 08:01:12,7.966,-37.065,4.722,121.08427340655574,0.40500000000000025,5.628002684991856
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us700011,2020-09-06 12:16:52,7.951,-37.054,4.722,119.51367424076253,0.40500000000000025,7.198601850785067
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us700012,2020-09-06 13:19:03,7.836,-37.03,4.722,114.6050705925412,0.40500000000000025,12.107205499006398
us7000bli6,2020-09-10 22:26:38.660000,7.5951,-37.1436,5.127000000000001,126.7122760915476,us700013,2020-09-06 23:19:08,7.79,-37.038,4.722,114.93427461220604,0.40500000000000025,11.778001479341555
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,us7000bjem,2020-09-07 21:18:59.974000,7.8729,-37.0216,5.208,114.29323671071565,0.16199999999999992,6.197163542442766
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,us7000blsw,2020-09-07 11:03:17.037000,7.6409,-37.3509,5.127000000000001,149.18797806140955,0.0810000000000004,41.09190489313667
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,us7000bivi,2020-09-06 08:29:47.435000,7.7571,-37.1468,5.046,126.6666850687764,0.0,18.570611900503522
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,us70001,2020-09-08 06:39:18,7.764,-37.001,4.965000000000001,110.65097765128276,0.08099999999999952,2.554904483009878
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,us70002,2020-09-06 11:06:53,7.986,-37.049,4.884,119.93489668105762,0.16199999999999992,11.838823512784742
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,us70003,2020-09-06 21:39:33,7.796,-37.048,4.884,116.09126368418698,0.16199999999999992,7.9951905159141035
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,us70004,2020-09-07 21:19:05,7.79,-37.05,4.803,116.25308520611668,0.24300000000000033,8.1570120378438
us7000blt2,2020-09-07 21:22:43.085000,7.5843,-36.9728,5.046,108.09607316827288,us70005,2020-09-07 02:43:05,7.738,-37.011,4.722,111.61006893315307,0.32399999999999984,3.5139957648801925
