id,time,lat,lon,mag,group
us70003,2020-09-06 21:39:33,7.626212080186591,-37.17529219630853,4.884,1
us7000blsw,2020-09-07 11:03:17.037000,7.598712254886516,-37.12860881576711,5.127000000000001,1
us7000bjem,2020-09-07 21:18:59.974000,7.792797771302102,-37.05416846811452,5.208,2
us70004,2020-09-07 21:19:05,7.790007583103683,-37.05000938528992,4.803,2
us7000blt2,2020-09-07 21:22:43.085000,7.597873451281878,-36.984257709705126,5.046,1
us7000bli6,2020-09-10 22:26:38.660000,7.595101591377465,-37.143599620890726,5.127000000000001,1
